"Dintero Checkout","Dintero Checkout"
Enabled,Enabled
Title,Title
Sandbox,Sandbox
"Account Id","Account Id"
"Client Id","Client Id"
"Client Secret","Client Secret"
"Checkout Profile Id","Checkout Profile Id"
"Payment Action","Payment Action"
"Is logo type mono?","Is logo type mono?"
"Color","Color"
"Logo Width","Logo Width"
"Payment failed","Payment failed"
"Failed to void the transaction","Failed to void the transaction"
"Failed to capture the payment","Failed to capture the payment"
"Couldn't refund the transaction","Couldn't refund the transaction"
"Failed to get access token","Failed to get access token"
"Could not retrieve the access token","Could not retrieve the access token"
"This transaction cannot be captured","This transaction cannot be captured"
"Unsupported HTTP method %s","Unsupported HTTP method %s"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Dintero Payments is not enabled","Dintero Payments is not enabled"
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"Cannot invoice the transaction","Cannot invoice the transaction"
"Invalid transaction or merchant reference","Invalid transaction or merchant reference"
"Payment session validation failed!","Payment session validation failed!"
